DES_PIANO_TARIFFARIO_BILLING;DES_MACRO_STATO;CICLO_VITA_SIM_gg;gg_DA_ULTIMA_CHIAMATA;gg_DA_ULTIMA_RICARICA;DES_CANALE_VENDITA;MINUTI_FEB;MINUTI_GEN;MINUTI_DIC;VIDEO_FEB;VIDEO_GEN;VIDEO_DIC;MESSAGGI_FEB;MESSAGGI_GEN;MESSAGGI_DIC;WEB_FEB;WEB_GEN;WEB_DIC
TuaMatic;0;663;7;365;FLAGSHIP;MEDIO;MEDIO;MEDIO;MEDIO;MEDIO;MEDIO;BASSO;MEDIO;BASSO;BASSO;BASSO;BASSO
SuperTua;0;695;1;365;SHOP IN SHOP;MOLTO ALTO;MOLTO ALTO;MOLTO ALTO;BASSO;BASSO;BASSO;ALTO;MEDIO;MEDIO;BASSO;BASSO;BASSO
TuaMatic;1;678;11;365;NATIONAL CHAIN;MOLTO ALTO;MOLTO ALTO;MOLTO ALTO;BASSO;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;1;394;17;365;SHOP IN SHOP;MOLTO ALTO;MOLTO ALTO;MOLTO ALTO;BASSO;MEDIO;MEDIO;ALTO;ALTO;ALTO;BASSO;BASSO;BASSO
TuaMatic;1;407;20;365;FRANCHISING;MOLTO ALTO;MOLTO ALTO;MOLTO ALTO;BASSO;BASSO;MEDIO;ALTO;MEDIO;ALTO;BASSO;BASSO;BASSO
SuperTua;0;599;2;365;FRANCHISING;ALTO;ALTO;ALTO;BASSO;BASSO;BASSO;MEDIO;ALTO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;663;75;120;SHOP IN SHOP;MEDIO;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;1;631;52;61;SHOP IN SHOP;MOLTO ALTO;MOLTO ALTO;ALTO;BASSO;BASSO;BASSO;ALTO;ALTO;ALTO;BASSO;BASSO;BASSO
TuaMatic;1;399;53;64;SHOP IN SHOP;ALTO;ALTO;ALTO;BASSO;BASSO;BASSO;BASSO;MEDIO;BASSO;BASSO;BASSO;BASSO
TuaMatic;1;650;34;63;FRANCHISING;ALTO;MEDIO;MEDIO;BASSO;BASSO;MEDIO;MEDIO;BASSO;MEDIO;BASSO;BASSO;BASSO
TuaMatic;1;644;56;63;SHOP IN SHOP;MOLTO ALTO;ALTO;MOLTO ALTO;BASSO;MEDIO;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;1;402;36;94;FRANCHISING;MEDIO;MEDIO;ALTO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;434;14;122;SHOP IN SHOP;MEDIO;MEDIO;ALTO;BASSO;BASSO;ALTO;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;1;424;16;365;NATIONAL CHAIN;MOLTO ALTO;ALTO;ALTO;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;642;9;365;FRANCHISING;ALTO;ALTO;ALTO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;1;424;15;365;FRANCHISING;MOLTO ALTO;MOLTO ALTO;ALTO;ALTO;BASSO;BASSO;BASSO;MEDIO;MEDIO;BASSO;BASSO;BASSO
TuaMatic;1;650;71;57;FRANCHISING;MOLTO ALTO;MOLTO ALTO;ALTO;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;1;595;74;64;SHOP IN SHOP;MEDIO;MEDIO;MEDIO;BASSO;BASSO;BASSO;MEDIO;MEDIO;BASSO;BASSO;BASSO;BASSO
TuaMatic;1;422;14;64;NATIONAL CHAIN;ALTO;ALTO;ALTO;BASSO;MEDIO;BASSO;MEDIO;MEDIO;MEDIO;BASSO;BASSO;BASSO
TuaMatic;0;483;25;243;SHOP IN SHOP;MEDIO;BASSO;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
SuperTua;1;563;40;56;SHOP IN SHOP;ALTO;MOLTO ALTO;ALTO;BASSO;BASSO;BASSO;MEDIO;ALTO;ALTO;BASSO;BASSO;BASSO
TuaMatic;0;664;26;120;SHOP IN SHOP;BASSO;ALTO;BASSO;BASSO;MEDIO;BASSO;BASSO;ALTO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;412;2;64;FRANCHISING;MEDIO;ALTO;MEDIO;ALTO;ALTO;BASSO;BASSO;MEDIO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;411;9;94;NATIONAL CHAIN;BASSO;MEDIO;ALTO;BASSO;BASSO;BASSO;BASSO;MEDIO;MEDIO;BASSO;BASSO;BASSO
TuaMatic;0;420;20;63;SHOP IN SHOP;MEDIO;BASSO;BASSO;MEDIO;BASSO;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;406;3;113;FRANCHISING;MEDIO;BASSO;ALTO;BASSO;BASSO;BASSO;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;454;2;365;FLAGSHIP;MOLTO ALTO;MOLTO ALTO;MOLTO ALTO;BASSO;MEDIO;MEDIO;ALTO;ALTO;ALTO;BASSO;BASSO;BASSO
TuaMatic;0;433;80;64;GDO;BASSO;BASSO;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO;MEDIO;BASSO;BASSO;BASSO
TuaMatic;0;406;2;365;SHOP IN SHOP;ALTO;MOLTO ALTO;ALTO;BASSO;MEDIO;MEDIO;MEDIO;MEDIO;BASSO;BASSO;BASSO;MEDIO
TuaMatic;0;437;2;365;SHOP IN SHOP;MOLTO ALTO;MOLTO ALTO;MOLTO ALTO;MEDIO;MEDIO;MEDIO;ALTO;MEDIO;ALTO;BASSO;BASSO;BASSO
TuaMatic;0;429;89;330;SHOP IN SHOP;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;1;389;20;64;SHOP IN SHOP;MEDIO;MEDIO;MEDIO;BASSO;MEDIO;MEDIO;ALTO;ALTO;ALTO;BASSO;BASSO;BASSO
TuaMatic;1;435;20;64;SHOP IN SHOP;MEDIO;MEDIO;MEDIO;BASSO;BASSO;MEDIO;BASSO;BASSO;MEDIO;BASSO;BASSO;BASSO
TuaMatic;0;413;2;365;NATIONAL CHAIN;ALTO;ALTO;MEDIO;BASSO;BASSO;BASSO;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO
SuperTua;0;466;2;365;SHOP IN SHOP;MOLTO ALTO;ALTO;ALTO;MEDIO;BASSO;BASSO;MEDIO;MEDIO;ALTO;BASSO;BASSO;ALTO
TuaMatic;1;393;38;413;FRANCHISING;ALTO;ALTO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;416;27;211;NATIONAL CHAIN;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
