DES_PIANO_TARIFFARIO_BILLING;DES_MACRO_STATO;CICLO_VITA_SIM_gg;gg_DA_ULTIMA_CHIAMATA;gg_DA_ULTIMA_RICARICA;DES_CANALE_VENDITA;MINUTI_FEB;MINUTI_GEN;MINUTI_DIC;VIDEO_FEB;VIDEO_GEN;VIDEO_DIC;MESSAGGI_FEB;MESSAGGI_GEN;MESSAGGI_DIC;WEB_FEB;WEB_GEN;WEB_DIC
SuperTua;1;339;39;63;SHOP IN SHOP;MOLTO ALTO;MOLTO ALTO;ALTO;BASSO;MEDIO;BASSO;ALTO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;1;345;34;63;FRANCHISING;MOLTO ALTO;ALTO;ALTO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;1;344;32;63;SHOP IN SHOP;MOLTO ALTO;ALTO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;1;359;235;330;SHOP IN SHOP;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;1;351;33;149;SHOP IN SHOP;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;374;3;63;SHOP IN SHOP;MOLTO ALTO;MOLTO ALTO;MOLTO ALTO;BASSO;BASSO;MEDIO;ALTO;ALTO;ALTO;BASSO;BASSO;BASSO
TuaMatic;0;374;67;374;FRANCHISING;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;374;2;365;FRANCHISING;MEDIO;MEDIO;MOLTO ALTO;BASSO;BASSO;BASSO;MEDIO;MEDIO;ALTO;BASSO;BASSO;BASSO
TuaMatic;0;374;9;365;FRANCHISING;MOLTO ALTO;MOLTO ALTO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;374;8;374;SHOP IN SHOP;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;1;338;39;63;SHOP IN SHOP;ALTO;ALTO;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;1;308;66;64;DISTRIBUTOR;MOLTO ALTO;MOLTO ALTO;MOLTO ALTO;BASSO;BASSO;BASSO;ALTO;ALTO;ALTO;BASSO;BASSO;BASSO
TuaMatic;0;373;64;331;FRANCHISING;BASSO;BASSO;BASSO;BASSO;BASSO;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;1;337;39;63;DISTRIBUTOR;ALTO;ALTO;ALTO;BASSO;BASSO;BASSO;ALTO;ALTO;ALTO;BASSO;BASSO;BASSO
TuaMatic;0;373;3;365;FRANCHISING;MEDIO;ALTO;MEDIO;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
SuperTua;1;326;34;60;SHOP IN SHOP;MOLTO ALTO;MOLTO ALTO;MOLTO ALTO;ALTO;ALTO;ALTO;ALTO;ALTO;ALTO;BASSO;BASSO;BASSO
TuaMatic;0;373;2;365;SHOP IN SHOP;MOLTO ALTO;MOLTO ALTO;ALTO;BASSO;MEDIO;BASSO;MEDIO;MEDIO;BASSO;BASSO;BASSO;BASSO
TuaMatic;1;358;16;365;FRANCHISING;ALTO;MOLTO ALTO;ALTO;MEDIO;ALTO;BASSO;MEDIO;BASSO;MEDIO;BASSO;BASSO;BASSO
TuaMatic;1;344;30;365;SHOP IN SHOP;MOLTO ALTO;ALTO;ALTO;BASSO;BASSO;BASSO;ALTO;MEDIO;MEDIO;BASSO;BASSO;BASSO
SuperTua;0;373;7;365;SHOP IN SHOP;BASSO;MEDIO;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO;MEDIO;BASSO;BASSO;BASSO
TuaMatic;1;339;35;63;DISTRIBUTOR;MOLTO ALTO;MOLTO ALTO;MOLTO ALTO;MEDIO;MEDIO;MEDIO;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO
SuperTua;0;373;2;182;FLAGSHIP;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;1;331;50;63;NATIONAL CHAIN;MOLTO ALTO;MOLTO ALTO;MOLTO ALTO;MEDIO;MEDIO;ALTO;MEDIO;ALTO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;373;82;146;FRANCHISING;BASSO;BASSO;ALTO;BASSO;BASSO;BASSO;BASSO;BASSO;MEDIO;BASSO;BASSO;BASSO
TuaMatic;0;373;15;365;FRANCHISING;MEDIO;MEDIO;ALTO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;372;2;365;SHOP IN SHOP;MOLTO ALTO;MOLTO ALTO;ALTO;BASSO;BASSO;BASSO;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;372;2;365;SHOP IN SHOP;MOLTO ALTO;MOLTO ALTO;MOLTO ALTO;BASSO;BASSO;BASSO;ALTO;ALTO;ALTO;BASSO;BASSO;BASSO
TuaMatic;1;350;24;365;SHOP IN SHOP;MEDIO;MEDIO;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;372;2;365;SHOP IN SHOP;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO;ALTO;BASSO;BASSO;BASSO;BASSO;BASSO
SuperTua;0;372;2;365;SHOP IN SHOP;MOLTO ALTO;BASSO;MEDIO;BASSO;BASSO;BASSO;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;372;2;365;SHOP IN SHOP;MEDIO;MEDIO;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;1;323;50;63;FLAGSHIP;MEDIO;MEDIO;ALTO;BASSO;BASSO;BASSO;BASSO;BASSO;MEDIO;BASSO;BASSO;BASSO
TuaMatic;1;330;43;63;FRANCHISING;MOLTO ALTO;MOLTO ALTO;ALTO;ALTO;BASSO;MEDIO;MEDIO;MEDIO;MEDIO;BASSO;BASSO;BASSO
TuaMatic;0;372;2;365;SHOP IN SHOP;MEDIO;MOLTO ALTO;MOLTO ALTO;ALTO;ALTO;ALTO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;372;46;201;SHOP IN SHOP;BASSO;MEDIO;MEDIO;BASSO;BASSO;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;372;135;140;SHOP IN SHOP;BASSO;ALTO;MEDIO;BASSO;BASSO;BASSO;BASSO;MEDIO;BASSO;BASSO;BASSO;BASSO
TuaMatic;1;309;66;63;SHOP IN SHOP;MEDIO;MEDIO;BASSO;BASSO;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
SuperTua;0;372;13;64;SHOP IN SHOP;ALTO;BASSO;MOLTO ALTO;MEDIO;BASSO;MEDIO;MEDIO;BASSO;ALTO;BASSO;BASSO;BASSO
TuaMatic;0;372;139;362;GDO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
SuperTua;1;360;12;365;SHOP IN SHOP;MOLTO ALTO;MOLTO ALTO;MOLTO ALTO;BASSO;BASSO;BASSO;ALTO;ALTO;ALTO;BASSO;BASSO;BASSO
TuaMatic;1;359;13;365;FLAGSHIP;MOLTO ALTO;ALTO;ALTO;BASSO;BASSO;BASSO;ALTO;ALTO;ALTO;BASSO;BASSO;BASSO
TuaMatic;0;372;36;283;SHOP IN SHOP;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;372;2;365;FRANCHISING;ALTO;MEDIO;MEDIO;MEDIO;MEDIO;MEDIO;ALTO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;1;332;44;54;FRANCHISING;MOLTO ALTO;MOLTO ALTO;MOLTO ALTO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
SuperTua;0;372;3;365;FRANCHISING;ALTO;ALTO;ALTO;BASSO;BASSO;BASSO;ALTO;ALTO;ALTO;BASSO;BASSO;BASSO
TuaMatic;0;371;11;63;FRANCHISING;ALTO;ALTO;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;370;2;365;SHOP IN SHOP;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
SuperTua;0;370;2;1;GDO;MOLTO ALTO;MOLTO ALTO;MOLTO ALTO;ALTO;ALTO;ALTO;ALTO;ALTO;ALTO;BASSO;BASSO;BASSO
TuaMatic;1;312;60;63;FRANCHISING;MOLTO ALTO;ALTO;ALTO;BASSO;MEDIO;BASSO;BASSO;MEDIO;MEDIO;BASSO;BASSO;BASSO
TuaMatic;1;355;17;365;FRANCHISING;MEDIO;MEDIO;MEDIO;BASSO;BASSO;BASSO;MEDIO;ALTO;MEDIO;BASSO;BASSO;BASSO
TuaMatic;1;355;15;365;SHOP IN SHOP;MOLTO ALTO;MOLTO ALTO;MOLTO ALTO;BASSO;BASSO;BASSO;ALTO;ALTO;ALTO;BASSO;BASSO;BASSO
TuaMatic;1;355;68;92;FRANCHISING;MEDIO;MEDIO;MEDIO;MEDIO;BASSO;MEDIO;BASSO;BASSO;MEDIO;BASSO;BASSO;BASSO
TuaMatic;1;307;64;60;SHOP IN SHOP;ALTO;ALTO;ALTO;BASSO;MEDIO;BASSO;ALTO;ALTO;ALTO;BASSO;BASSO;BASSO
TuaMatic;0;370;3;365;FRANCHISING;ALTO;ALTO;MOLTO ALTO;BASSO;BASSO;BASSO;ALTO;ALTO;ALTO;BASSO;BASSO;BASSO
TuaMatic;0;370;28;365;FRANCHISING;ALTO;MEDIO;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;1;307;69;63;FRANCHISING;ALTO;ALTO;ALTO;BASSO;MEDIO;BASSO;MEDIO;MEDIO;BASSO;BASSO;BASSO;BASSO
SuperTua;0;370;3;61;NATIONAL CHAIN;MOLTO ALTO;MOLTO ALTO;MOLTO ALTO;BASSO;BASSO;BASSO;ALTO;ALTO;ALTO;BASSO;BASSO;BASSO
TuaMatic;1;335;36;63;SHOP IN SHOP;ALTO;ALTO;ALTO;MEDIO;MEDIO;ALTO;ALTO;ALTO;ALTO;BASSO;BASSO;BASSO
TuaMatic;1;335;36;63;SHOP IN SHOP;ALTO;ALTO;ALTO;ALTO;MEDIO;BASSO;ALTO;ALTO;ALTO;BASSO;BASSO;BASSO
TuaMatic;0;370;13;365;SHOP IN SHOP;ALTO;MOLTO ALTO;MEDIO;BASSO;BASSO;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;370;32;63;FRANCHISING;MEDIO;MEDIO;BASSO;BASSO;MEDIO;MEDIO;ALTO;MEDIO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;370;29;365;FRANCHISING;MOLTO ALTO;ALTO;ALTO;BASSO;ALTO;BASSO;ALTO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;370;87;209;DISTRIBUTOR;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
SuperTua;0;370;7;365;FRANCHISING;MEDIO;MEDIO;BASSO;BASSO;BASSO;BASSO;MEDIO;MEDIO;ALTO;BASSO;BASSO;BASSO
TuaMatic;0;370;2;365;SHOP IN SHOP;MOLTO ALTO;MOLTO ALTO;MOLTO ALTO;MEDIO;BASSO;ALTO;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;370;25;365;SHOP IN SHOP;MEDIO;MEDIO;MEDIO;BASSO;BASSO;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;370;28;61;SHOP IN SHOP;ALTO;ALTO;ALTO;BASSO;BASSO;MEDIO;ALTO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;370;46;147;SHOP IN SHOP;BASSO;BASSO;MEDIO;BASSO;BASSO;MEDIO;BASSO;BASSO;MEDIO;BASSO;BASSO;BASSO
TuaMatic;1;335;36;63;FRANCHISING;MOLTO ALTO;ALTO;ALTO;MEDIO;MEDIO;BASSO;ALTO;ALTO;MEDIO;BASSO;BASSO;BASSO
TuaMatic;1;356;205;206;SHOP IN SHOP;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;370;2;365;SHOP IN SHOP;BASSO;MOLTO ALTO;MOLTO ALTO;BASSO;BASSO;BASSO;ALTO;ALTO;ALTO;BASSO;BASSO;BASSO
TuaMatic;0;369;2;365;SHOP IN SHOP;MOLTO ALTO;MEDIO;MOLTO ALTO;BASSO;MEDIO;ALTO;MEDIO;BASSO;MEDIO;BASSO;BASSO;BASSO
TuaMatic;0;369;13;120;SHOP IN SHOP;BASSO;MOLTO ALTO;MOLTO ALTO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;1;318;52;63;FLAGSHIP;MEDIO;MEDIO;MEDIO;MEDIO;MEDIO;BASSO;MEDIO;MEDIO;MEDIO;BASSO;BASSO;BASSO
TuaMatic;1;318;52;63;FRANCHISING;ALTO;ALTO;ALTO;BASSO;ALTO;MEDIO;MEDIO;MEDIO;MEDIO;BASSO;BASSO;BASSO
TuaMatic;0;369;4;365;FRANCHISING;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
SuperTua;0;369;9;365;SHOP IN SHOP;ALTO;MEDIO;ALTO;ALTO;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;369;4;365;SHOP IN SHOP;ALTO;MOLTO ALTO;ALTO;BASSO;BASSO;BASSO;ALTO;ALTO;ALTO;BASSO;BASSO;BASSO
TuaMatic;1;334;47;63;FRANCHISING;MOLTO ALTO;MOLTO ALTO;MOLTO ALTO;BASSO;BASSO;BASSO;ALTO;ALTO;ALTO;BASSO;BASSO;BASSO
TuaMatic;1;348;22;365;SHOP IN SHOP;ALTO;ALTO;MOLTO ALTO;BASSO;MEDIO;MEDIO;MEDIO;MEDIO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;369;9;63;FRANCHISING;ALTO;MEDIO;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;369;5;365;FORMULA 3;MOLTO ALTO;MOLTO ALTO;ALTO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;1;306;88;63;FORMULA 3;MOLTO ALTO;MOLTO ALTO;ALTO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;369;3;365;SHOP IN SHOP;ALTO;ALTO;ALTO;BASSO;BASSO;BASSO;MEDIO;MEDIO;MEDIO;BASSO;BASSO;BASSO
TuaMatic;0;369;17;365;SHOP IN SHOP;MOLTO ALTO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;1;318;73;91;FRANCHISING;ALTO;MOLTO ALTO;BASSO;BASSO;BASSO;BASSO;ALTO;ALTO;BASSO;BASSO;BASSO;BASSO
TuaMatic;1;304;108;148;SHOP IN SHOP;BASSO;BASSO;ALTO;BASSO;BASSO;BASSO;BASSO;BASSO;MEDIO;BASSO;BASSO;BASSO
SuperTua;1;335;48;182;FRANCHISING;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;1;339;31;60;SHOP IN SHOP;ALTO;ALTO;ALTO;MEDIO;ALTO;MEDIO;MEDIO;MEDIO;MEDIO;BASSO;BASSO;BASSO
TuaMatic;0;369;2;365;FRANCHISING;ALTO;ALTO;ALTO;BASSO;BASSO;BASSO;ALTO;ALTO;ALTO;BASSO;BASSO;BASSO
TuaMatic;0;369;3;365;FRANCHISING;MOLTO ALTO;ALTO;ALTO;BASSO;BASSO;ALTO;MEDIO;BASSO;MEDIO;BASSO;BASSO;BASSO
SuperTua;0;369;2;365;SHOP IN SHOP;MOLTO ALTO;MOLTO ALTO;MOLTO ALTO;BASSO;BASSO;BASSO;MEDIO;MEDIO;ALTO;BASSO;BASSO;BASSO
SuperTua;1;354;16;365;FRANCHISING;ALTO;MOLTO ALTO;ALTO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;369;37;271;FRANCHISING;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;369;17;365;FRANCHISING;MEDIO;MEDIO;BASSO;BASSO;BASSO;BASSO;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;369;3;365;SHOP IN SHOP;MOLTO ALTO;MOLTO ALTO;ALTO;BASSO;MEDIO;BASSO;MEDIO;ALTO;MEDIO;BASSO;BASSO;BASSO
TuaMatic;0;369;74;282;SHOP IN SHOP;MEDIO;MEDIO;BASSO;BASSO;MEDIO;BASSO;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;369;6;365;FRANCHISING;MEDIO;BASSO;MEDIO;ALTO;MEDIO;BASSO;BASSO;BASSO;MEDIO;BASSO;BASSO;BASSO
TuaMatic;1;347;21;365;FRANCHISING;MOLTO ALTO;ALTO;MOLTO ALTO;MEDIO;BASSO;BASSO;ALTO;ALTO;ALTO;BASSO;BASSO;MEDIO
SuperTua;0;368;2;365;SHOP IN SHOP;MEDIO;MEDIO;ALTO;ALTO;BASSO;BASSO;MEDIO;ALTO;MEDIO;BASSO;BASSO;BASSO
TuaMatic;0;368;10;365;SHOP IN SHOP;MEDIO;MEDIO;MEDIO;MEDIO;BASSO;MEDIO;MEDIO;MEDIO;BASSO;BASSO;BASSO;BASSO
TuaMatic;1;327;329;368;SHOP IN SHOP;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;368;9;365;SHOP IN SHOP;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;368;2;365;NATIONAL CHAIN;MEDIO;MEDIO;BASSO;BASSO;BASSO;MEDIO;ALTO;ALTO;ALTO;BASSO;BASSO;BASSO
TuaMatic;0;368;143;149;DISTRIBUTOR;BASSO;BASSO;ALTO;BASSO;BASSO;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;1;340;36;63;SHOP IN SHOP;MEDIO;BASSO;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO;MEDIO;BASSO;BASSO;BASSO
SuperTua;1;318;57;57;FRANCHISING;MOLTO ALTO;MOLTO ALTO;MOLTO ALTO;BASSO;MEDIO;MEDIO;MEDIO;ALTO;ALTO;BASSO;BASSO;BASSO
TuaMatic;0;367;16;365;NATIONAL CHAIN;ALTO;MEDIO;BASSO;BASSO;ALTO;ALTO;ALTO;ALTO;MEDIO;BASSO;BASSO;BASSO
TuaMatic;1;304;63;64;SHOP IN SHOP;MOLTO ALTO;MOLTO ALTO;MOLTO ALTO;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;1;351;16;365;FRANCHISING;MOLTO ALTO;ALTO;ALTO;MEDIO;BASSO;BASSO;MEDIO;BASSO;MEDIO;BASSO;BASSO;BASSO
TuaMatic;0;366;2;112;SHOP IN SHOP;BASSO;BASSO;BASSO;BASSO;BASSO;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;366;2;365;NATIONAL CHAIN;MEDIO;ALTO;MEDIO;BASSO;BASSO;BASSO;ALTO;ALTO;ALTO;BASSO;BASSO;BASSO
SuperTua;1;337;41;365;FRANCHISING;MOLTO ALTO;MOLTO ALTO;ALTO;BASSO;MEDIO;MEDIO;ALTO;ALTO;ALTO;BASSO;BASSO;BASSO
TuaMatic;0;366;63;92;FRANCHISING;MEDIO;ALTO;ALTO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;366;2;365;SHOP IN SHOP;ALTO;ALTO;ALTO;MEDIO;MEDIO;MEDIO;MEDIO;MEDIO;ALTO;BASSO;BASSO;BASSO
TuaMatic;0;366;2;365;SHOP IN SHOP;MOLTO ALTO;MOLTO ALTO;MOLTO ALTO;BASSO;BASSO;BASSO;ALTO;ALTO;ALTO;BASSO;BASSO;BASSO
TuaMatic;0;366;2;60;NATIONAL CHAIN;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;366;31;365;NATIONAL CHAIN;ALTO;MEDIO;MEDIO;BASSO;BASSO;ALTO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;365;31;92;FRANCHISING;BASSO;BASSO;BASSO;BASSO;BASSO;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;1;329;37;62;SHOP IN SHOP;ALTO;MEDIO;MEDIO;BASSO;BASSO;BASSO;MEDIO;MEDIO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;365;19;63;SHOP IN SHOP;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;1;325;41;63;SHOP IN SHOP;ALTO;ALTO;ALTO;BASSO;BASSO;BASSO;BASSO;MEDIO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;365;3;63;FRANCHISING;ALTO;ALTO;ALTO;BASSO;MEDIO;ALTO;ALTO;MEDIO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;365;3;365;SHOP IN SHOP;BASSO;MEDIO;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;1;316;50;63;SHOP IN SHOP;MOLTO ALTO;ALTO;ALTO;BASSO;BASSO;BASSO;ALTO;ALTO;MEDIO;BASSO;BASSO;BASSO
TuaMatic;0;365;37;271;SHOP IN SHOP;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;1;345;22;365;SHOP IN SHOP;MOLTO ALTO;MOLTO ALTO;MOLTO ALTO;ALTO;BASSO;BASSO;MEDIO;MEDIO;MEDIO;BASSO;BASSO;BASSO
TuaMatic;0;365;55;209;SHOP IN SHOP;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;364;2;365;SHOP IN SHOP;MOLTO ALTO;MOLTO ALTO;MOLTO ALTO;BASSO;BASSO;ALTO;ALTO;ALTO;ALTO;BASSO;BASSO;BASSO
SuperTua;0;364;2;365;FRANCHISING;ALTO;MEDIO;BASSO;BASSO;BASSO;BASSO;MEDIO;MEDIO;MEDIO;BASSO;BASSO;BASSO
TuaMatic;0;364;2;365;FRANCHISING;MOLTO ALTO;BASSO;ALTO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;364;2;365;FRANCHISING;MEDIO;BASSO;MEDIO;BASSO;BASSO;BASSO;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;1;345;20;63;FRANCHISING;MOLTO ALTO;MOLTO ALTO;MOLTO ALTO;MEDIO;ALTO;ALTO;ALTO;ALTO;ALTO;BASSO;BASSO;BASSO
TuaMatic;1;314;59;62;NATIONAL CHAIN;MOLTO ALTO;MOLTO ALTO;MOLTO ALTO;MEDIO;BASSO;MEDIO;ALTO;ALTO;ALTO;BASSO;BASSO;BASSO
TuaMatic;1;344;22;365;FRANCHISING;ALTO;ALTO;ALTO;BASSO;MEDIO;BASSO;ALTO;ALTO;MEDIO;BASSO;BASSO;BASSO
TuaMatic;0;364;37;63;FRANCHISING;ALTO;MEDIO;BASSO;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;1;344;21;365;SHOP IN SHOP;ALTO;ALTO;ALTO;MEDIO;BASSO;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;364;2;365;FRANCHISING;MEDIO;ALTO;MOLTO ALTO;BASSO;ALTO;MEDIO;ALTO;ALTO;ALTO;BASSO;BASSO;BASSO
TuaMatic;0;363;5;365;NATIONAL CHAIN;MEDIO;MEDIO;MEDIO;BASSO;MEDIO;BASSO;MEDIO;MEDIO;MEDIO;BASSO;BASSO;BASSO
TuaMatic;1;350;14;365;SHOP IN SHOP;MOLTO ALTO;MOLTO ALTO;MOLTO ALTO;BASSO;BASSO;BASSO;ALTO;MEDIO;MEDIO;BASSO;BASSO;BASSO
TuaMatic;0;362;23;119;SHOP IN SHOP;BASSO;BASSO;ALTO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;362;235;93;SHOP IN SHOP;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;1;362;58;63;FRANCHISING;BASSO;MEDIO;MEDIO;MEDIO;BASSO;MEDIO;BASSO;MEDIO;MEDIO;BASSO;BASSO;BASSO
TuaMatic;0;362;2;365;DISTRIBUTOR;MOLTO ALTO;MOLTO ALTO;MOLTO ALTO;BASSO;BASSO;ALTO;ALTO;ALTO;ALTO;BASSO;BASSO;BASSO
TuaMatic;1;321;42;57;SHOP IN SHOP;MOLTO ALTO;MOLTO ALTO;MOLTO ALTO;MEDIO;MEDIO;MEDIO;MEDIO;MEDIO;MEDIO;BASSO;BASSO;BASSO
SuperTua;0;362;6;365;SHOP IN SHOP;ALTO;MOLTO ALTO;MOLTO ALTO;BASSO;BASSO;BASSO;ALTO;ALTO;ALTO;BASSO;BASSO;ALTO
TuaMatic;1;362;64;63;SHOP IN SHOP;MEDIO;MEDIO;MEDIO;BASSO;BASSO;BASSO;MEDIO;BASSO;BASSO;BASSO;ALTO;BASSO
TuaMatic;0;361;10;365;SHOP IN SHOP;BASSO;MEDIO;MEDIO;BASSO;BASSO;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;361;4;67;SHOP IN SHOP;BASSO;BASSO;BASSO;BASSO;BASSO;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;361;2;58;GDO;MEDIO;ALTO;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO;MEDIO;BASSO;BASSO;BASSO
TuaMatic;1;346;23;365;SHOP IN SHOP;ALTO;ALTO;ALTO;BASSO;MEDIO;BASSO;MEDIO;MEDIO;MEDIO;BASSO;BASSO;BASSO
